N,K,Algoritmo,Tiempo_s
1048576,2,KWay_Seq,0.118021
1048576,2,Full_Par_p8,0.010455
1048576,4,KWay_Seq,0.098962
1048576,4,Full_Par_p8,0.008830
1048576,8,KWay_Seq,0.102046
1048576,8,Full_Par_p8,0.008801
1048576,16,KWay_Seq,0.083591
1048576,16,Full_Par_p8,0.008240
67108864,2,KWay_Seq,8.282758
67108864,2,Full_Par_p8,1.106887
67108864,4,KWay_Seq,7.131132
67108864,4,Full_Par_p8,0.815893
67108864,8,KWay_Seq,7.056508
67108864,8,Full_Par_p8,0.807409
67108864,16,KWay_Seq,7.263463
67108864,16,Full_Par_p8,0.806682
