N,Algoritmo,p,Tiempo,Speedup,IPC,CacheMisses
2^20,Quick_Par,1,0.051786,1.0000,0.93,750000
2^20,Quick_Par,8,0.009704,5.3366,0.93,750000
2^20,MS_Par,1,0.336033,1.0000,5.27,901723
2^20,MS_Par,8,0.077255,4.3497,5.27,901723
2^20,Full_Par,1,0.052249,1.0000,0.84,945636
2^20,Full_Par,8,0.008546,6.1142,0.84,945636
2^26,Quick_Par,1,3.356583,1.0000,1.20,22249816
2^26,Quick_Par,8,0.691772,4.8521,1.20,22249816
2^26,MS_Par,1,23.463158,1.0000,5.47,48759933
2^26,MS_Par,8,5.414871,4.3331,5.47,48759933
2^26,Full_Par,1,4.062823,1.0000,0.99,48391684
2^26,Full_Par,8,0.812182,5.0024,0.99,48391684
