Tamaño,Algoritmo,Hilos,Tiempo_s,Speedup,Eficiencia
2^20,Par_Mergesort,1,0.091328,1.0000,1.0000
2^20,Par_Mergesort,2,0.047549,1.9207,0.9604
2^20,Par_Mergesort,4,0.040300,2.2662,0.5666
2^20,Par_Mergesort,8,0.027898,3.2736,0.4092
2^20,Full_Paralelo,1,0.115405,1.0000,1.0000
2^20,Full_Paralelo,2,0.060135,1.9191,0.9595
2^20,Full_Paralelo,4,0.029933,3.8555,0.9639
2^20,Full_Paralelo,8,0.024820,4.6497,0.5812
2^22,Par_Mergesort,1,0.385639,1.0000,1.0000
2^22,Par_Mergesort,2,0.197670,1.9509,0.9755
2^22,Par_Mergesort,4,0.152150,2.5346,0.6336
2^22,Par_Mergesort,8,0.103723,3.7180,0.4647
2^22,Full_Paralelo,1,0.515807,1.0000,1.0000
2^22,Full_Paralelo,2,0.264794,1.9480,0.9740
2^22,Full_Paralelo,4,0.129748,3.9755,0.9939
2^22,Full_Paralelo,8,0.095087,5.4246,0.6781
2^24,Par_Mergesort,1,1.599569,1.0000,1.0000
2^24,Par_Mergesort,2,0.831997,1.9226,0.9613
2^24,Par_Mergesort,4,0.648235,2.4676,0.6169
2^24,Par_Mergesort,8,0.394242,4.0573,0.5072
2^24,Full_Paralelo,1,2.022596,1.0000,1.0000
2^24,Full_Paralelo,2,1.061544,1.9053,0.9527
2^24,Full_Paralelo,4,0.568008,3.5609,0.8902
2^24,Full_Paralelo,8,0.395350,5.1160,0.6395
2^26,Par_Mergesort,1,6.685923,1.0000,1.0000
2^26,Par_Mergesort,2,3.459537,1.9326,0.9663
2^26,Par_Mergesort,4,2.267327,2.9488,0.7372
2^26,Par_Mergesort,8,1.819419,3.6748,0.4593
2^26,Full_Paralelo,1,8.633773,1.0000,1.0000
2^26,Full_Paralelo,2,4.517164,1.9113,0.9557
2^26,Full_Paralelo,4,2.504823,3.4469,0.8617
2^26,Full_Paralelo,8,1.758553,4.9096,0.6137
