N_Size,Algoritmo,Hilos,Tiempo_s,Speedup,Eficiencia
2^20,Par_Mergesort,1,0.083741,1.0000,1.0000
2^20,Par_Mergesort,2,0.045071,1.8580,0.9290
2^20,Par_Mergesort,4,0.036708,2.2813,0.5703
2^20,Par_Mergesort,8,0.023619,3.5455,0.4432
2^20,Par_Kway,1,0.100811,1.0000,1.0000
2^20,Par_Kway,2,0.052540,1.9188,0.9594
2^20,Par_Kway,4,0.030567,3.2980,0.8245
2^20,Par_Kway,8,0.021077,4.7829,0.5979
2^20,Full_Paralelo,1,0.102673,1.0000,1.0000
2^20,Full_Paralelo,2,0.054162,1.8957,0.9478
2^20,Full_Paralelo,4,0.030903,3.3225,0.8306
2^20,Full_Paralelo,8,0.019950,5.1464,0.6433
2^22,Par_Mergesort,1,0.358312,1.0000,1.0000
2^22,Par_Mergesort,2,0.187684,1.9091,0.9546
2^22,Par_Mergesort,4,0.153699,2.3312,0.5828
2^22,Par_Mergesort,8,0.098324,3.6442,0.4555
2^22,Par_Kway,1,0.426333,1.0000,1.0000
2^22,Par_Kway,2,0.223788,1.9051,0.9525
2^22,Par_Kway,4,0.125738,3.3907,0.8477
2^22,Par_Kway,8,0.092215,4.6232,0.5779
2^22,Full_Paralelo,1,0.435276,1.0000,1.0000
2^22,Full_Paralelo,2,0.233279,1.8659,0.9330
2^22,Full_Paralelo,4,0.124890,3.4853,0.8713
2^22,Full_Paralelo,8,0.086180,5.0508,0.6313
2^24,Par_Mergesort,1,1.586232,1.0000,1.0000
2^24,Par_Mergesort,2,0.833184,1.9038,0.9519
2^24,Par_Mergesort,4,0.523912,3.0277,0.7569
2^24,Par_Mergesort,8,0.366752,4.3251,0.5406
2^24,Par_Kway,1,1.873818,1.0000,1.0000
2^24,Par_Kway,2,0.971076,1.9296,0.9648
2^24,Par_Kway,4,0.521568,3.5927,0.8982
2^24,Par_Kway,8,0.374337,5.0057,0.6257
2^24,Full_Paralelo,1,2.021182,1.0000,1.0000
2^24,Full_Paralelo,2,1.051433,1.9223,0.9612
2^24,Full_Paralelo,4,0.573426,3.5247,0.8812
2^24,Full_Paralelo,8,0.402008,5.0277,0.6285
2^26,Par_Mergesort,1,6.687008,1.0000,1.0000
2^26,Par_Mergesort,2,3.449901,1.9383,0.9692
2^26,Par_Mergesort,4,2.145919,3.1162,0.7790
2^26,Par_Mergesort,8,1.482373,4.5110,0.5639
2^26,Par_Kway,1,7.791433,1.0000,1.0000
2^26,Par_Kway,2,4.050524,1.9236,0.9618
2^26,Par_Kway,4,2.255589,3.4543,0.8636
2^26,Par_Kway,8,1.527843,5.0996,0.6375
2^26,Full_Paralelo,1,8.683863,1.0000,1.0000
2^26,Full_Paralelo,2,4.540737,1.9124,0.9562
2^26,Full_Paralelo,4,2.584058,3.3606,0.8401
2^26,Full_Paralelo,8,1.763586,4.9240,0.6155
